name,state,nda_index
North Richland Hills,TX,3.0
Hoffman Estates,IL,18.7
Near North Side,IL,23.0
Palatine,IL,6.7
Malden,MA,25.3
Grand Rapids,MI,26.3
Lansing,MI,19.3
Maple Grove,MN,5.0
Grand Island,NE,20.0
Nashua,NH,8.7
Parsippany,NJ,8.7
Coney Island,NY,18.0
Sheepshead Bay,NY,24.7
Pensacola,FL,11.0
Evansville,IN,7.0
Gary,IN,6.3
South Bend,IN,11.7
Green Bay,WI,18.3
Yuma,AZ,3.3
Aliso Viejo,CA,8.0
Lynwood,CA,21.3
Pueblo,CO,10.7
Sparks,NV,10.7
Midland,TX,11.0
South Jordan,UT,16.3
West Jordan,UT,12.3
Shoreline,WA,20.3
Baltimore,MD,24.7
Saint Joseph,MO,3.0
Saint Peters,MO,6.7
Rocky Mount,NC,8.7
Moore,OK,7.0
Columbia,SC,23.7
Arlington,TX,16.3
Garland,TX,9.7
San Antonio,TX,21.7
Chesapeake,VA,1.7
Dale City,VA,0.0
Richmond,VA,16.3
Des Moines,IA,4.7
Evanston,IL,16.7
Chicopee,MA,14.7
Elizabeth,NJ,18.7
Lakewood,NJ,11.7
Hempstead,NY,24.7
Levittown,NY,10.0
Mott Haven,NY,23.7
Queens Village,NY,22.0
Clearwater,FL,22.0
Largo,FL,13.7
Pine Hills,FL,20.0
Kansas City,KS,14.7
Flagstaff,AZ,22.0
Compton,CA,13.0
Glendora,CA,18.7
Petaluma,CA,15.7
Poway,CA,11.3
Simi Valley,CA,18.3
Universal City,CA,24.7
Lakewood,CO,21.0
Avondale,AZ,8.3
Salem,OR,26.0
Alafaya,FL,14.3
San Tan Valley,AZ,0.0
Mobile,AL,12.0
East Pensacola Heights,FL,9.7
Port Orange,FL,9.0
Sanford,FL,8.7
Spring Hill,FL,0.0
Wellington,FL,3.3
Lawrence,KS,27.7
Sioux Falls,SD,10.3
Bridgeport,CT,14.3
Scottsdale,AZ,1.7
Hemet,CA,13.7
Mountain View,CA,21.0
Riverside,CA,19.3
Tulare,CA,10.3
Watsonville,CA,22.7
Provo,UT,18.0
Florence-Graham,CA,13.7
Enchanted Hills,NM,0.0
Muncie,IN,8.0
Brookline,MA,19.7
Flint,MI,11.0
Kalamazoo,MI,24.7
Burnsville,MN,8.0
Saint Cloud,MN,17.7
West Coon Rapids,MN,5.0
Middletown,NJ,20.0
East Village,NY,31.0
Fordham,NY,26.3
Kings Bridge,NY,28.3
Ozone Park,NY,22.0
White Plains,NY,19.0
Bethlehem,PA,18.3
Rockville,MD,20.3
Fayetteville,NC,6.7
Enid,OK,11.7
Cedar Park,TX,1.7
Centreville,VA,16.0
Roanoke,VA,24.3
West Haven,CT,11.3
East Chattanooga,TN,4.7
Longview,TX,8.0
Round Rock,TX,9.7
Tyler,TX,7.0
Council Bluffs,IA,11.7
Sioux City,IA,17.0
Orland Park,IL,15.7
Framingham Center,MA,11.3
Novi,MI,14.0
Blaine,MN,6.0
Brooklyn Park,MN,8.7
Saint Paul,MN,23.3
Schenectady,NY,23.3
Staten Island,NY,17.0
Lorain,OH,4.7
Alhambra,CA,20.3
Bellflower,CA,16.7
Fontana,CA,14.0
Gilroy,CA,24.3
Newport Beach,CA,18.7
Paramount,CA,13.3
Santa Barbara,CA,29.3
Santa Cruz,CA,29.3
Ventura,CA,19.0
Whittier,CA,10.0
Enterprise,NV,0.0
Bellevue,WA,27.7
Bellingham,WA,13.7
Honolulu,HI,20.3
Decatur,AL,7.0
Tuscaloosa,AL,18.3
Brandon,FL,14.7
Carol City,FL,10.7
Coral Springs,FL,7.7
North Port,FL,4.7
Palm Beach Gardens,FL,0.0
Tamarac,FL,1.7
Marietta,GA,14.3
Valdosta,GA,18.0
Waukesha,WI,20.3
Burbank,CA,26.3
San Jose,CA,24.3
Santa Clara,CA,18.3
South Gate,CA,11.7
West Covina,CA,23.3
Westminster,CA,18.0
Arvada,CO,19.0
Rio Rancho,NM,0.0
Santa Fe,NM,26.0
Sunrise Manor,NV,0.0
Redding,CA,16.7
Tigard,OR,13.0
Olympia,WA,17.3
Royal Oak,MI,15.3
Warren,MI,3.3
Lincoln,NE,9.7
Hoboken,NJ,27.7
The Bronx,NY,25.0
Joplin,MO,6.0
Dayton,OH,26.0
Hamilton,OH,13.7
Midwest City,OK,8.7
Oklahoma City,OK,18.0
Charleston,SC,22.0
Euless,TX,9.3
Laredo,TX,18.3
The Woodlands,TX,0.0
Wichita Falls,TX,11.7
Norfolk,VA,17.3
Arlington Heights,IL,6.3
Chicago Lawn,IL,15.7
South Lawndale,IL,22.0
Columbus,GA,4.7
Springfield,IL,25.0
Dundalk,MD,14.7
St. Louis,MO,20.7
Wilmington,NC,13.0
Springfield,OH,7.0
Bryan,TX,13.7
Flower Mound,TX,0.0
Missouri City,TX,0.0
Pearland,TX,7.7
