name,state,score
North Richland Hills,TX,26
Hoffman Estates,IL,100
Near North Side,IL,100
Palatine,IL,45
Malden,MA,100
Grand Rapids,MI,100
Lansing,MI,100
Maple Grove,MN,6
Grand Island,NE,99
Nashua,NH,48
Parsippany,NJ,16
Coney Island,NY,100
Sheepshead Bay,NY,100
Pensacola,FL,85
Evansville,IN,20
Gary,IN,64
South Bend,IN,99
Green Bay,WI,100
Yuma,AZ,13
Aliso Viejo,CA,77
Lynwood,CA,61
Pueblo,CO,100
Sparks,NV,100
Midland,TX,8
South Jordan,UT,68
West Jordan,UT,60
Shoreline,WA,78
Baltimore,MD,100
Saint Joseph,MO,13
Saint Peters,MO,100
Rocky Mount,NC,30
Moore,OK,19
Columbia,SC,100
Arlington,TX,58
Garland,TX,26
San Antonio,TX,100
Chesapeake,VA,15
Dale City,VA,100
Richmond,VA,100
Des Moines,IA,100
Evanston,IL,100
Chicopee,MA,19
Elizabeth,NJ,92
Lakewood,NJ,69
Hempstead,NY,100
Levittown,NY,33
Mott Haven,NY,100
Queens Village,NY,100
Clearwater,FL,41
Largo,FL,32
Pine Hills,FL,53
Kansas City,KS,38
Flagstaff,AZ,100
Compton,CA,36
Glendora,CA,35
Petaluma,CA,97
Poway,CA,100
Simi Valley,CA,100
Universal City,CA,100
Lakewood,CO,100
Avondale,AZ,5
Salem,OR,100
Alafaya,FL,71
San Tan Valley,AZ,0
Mobile,AL,11
East Pensacola Heights,FL,9
Port Orange,FL,76
Sanford,FL,90
Spring Hill,FL,1
Wellington,FL,52
Lawrence,KS,100
Sioux Falls,SD,60
Bridgeport,CT,100
Scottsdale,AZ,11
Hemet,CA,29
Mountain View,CA,100
Riverside,CA,82
Tulare,CA,11
Watsonville,CA,100
Provo,UT,100
Florence-Graham,CA,53
Enchanted Hills,NM,4
Muncie,IN,11
Brookline,MA,100
Flint,MI,31
Kalamazoo,MI,100
Burnsville,MN,9
Saint Cloud,MN,96
West Coon Rapids,MN,6
Middletown,NJ,100
East Village,NY,100
Fordham,NY,100
Kings Bridge,NY,100
Ozone Park,NY,100
White Plains,NY,88
Bethlehem,PA,100
Rockville,MD,100
Fayetteville,NC,29
Enid,OK,27
Cedar Park,TX,21
Centreville,VA,100
Roanoke,VA,100
West Haven,CT,35
East Chattanooga,TN,3
Longview,TX,12
Round Rock,TX,86
Tyler,TX,38
Council Bluffs,IA,36
Sioux City,IA,100
Orland Park,IL,100
Framingham Center,MA,25
Novi,MI,100
Blaine,MN,48
Brooklyn Park,MN,13
Saint Paul,MN,100
Schenectady,NY,100
Staten Island,NY,100
Lorain,OH,85
Alhambra,CA,100
Bellflower,CA,84
Fontana,CA,100
Gilroy,CA,100
Newport Beach,CA,100
Paramount,CA,16
Santa Barbara,CA,100
Santa Cruz,CA,100
Ventura,CA,100
Whittier,CA,24
Enterprise,NV,9
Bellevue,WA,100
Bellingham,WA,100
Honolulu,HI,100
Decatur,AL,9
